pick,season,team,player,position,school,affiliation,trade,generation.adidas,head.coach,year.one.min,year.two.min,yr.one.two.min,ev,diff
1,2007,TOR,maurice edu,M,Maryland,None,0,1,Mo Johnston,2635,1334,3969,3259.6359927263,709.3640072737
1,2008,SKC,chance myers,D,UCLA,Ventura County Fusion,1,1,Curt Onalfo,823,199,1022,3259.6359927263,-2237.6359927263
1,2009,SEA,steve zakuani,F,University of Akron,Cleveland Internationals,0,1,Sigi Schmid,2409,2762,5171,3259.6359927263,1911.3640072737
1,2010,PHI,danny mwanga,Forward,Oregon State University,None,0,1,Piotr Nowak,1766,1646,3412,3259.6359927263,152.3640072737
1,2011,VAN,omar salgado,Forward,United States U-20,None,0,1,Teitur Thordarson,548,416,964,3259.6359927263,-2295.6359927263
1,2012,MTL,andrew wenger,Forward,Duke University,None,0,1,Jesse Marsch,916,954,1870,3259.6359927263,-1389.6359927263
1,2013,NE,andrew farrell,Defender,Louisville,River City Rovers,1,1,Jay Heaps,3092,3021,6113,3259.6359927263,2853.3640072737
1,2014,PHI,andre blake,Goalkeeper,Connecticut,None,1,1,John Hackworth,93,560,653,3259.6359927263,-2606.6359927263
1,2015,ORL,cyle larin,Forward,Connecticut,None,0,1,Adrian Heath,1966,2588,4554,3259.6359927263,1294.3640072737
2,2007,CHI,bakary soumare,D,Virginia,None,1,1,Dave Sarachan,1295,3039,4334,3078.9282957732,1255.0717042268
2,2008,FCD,brek shea,M,Generation adidas,None,1,1,Steve Morrow,20,878,898,3078.9282957732,-2180.9282957732
2,2009,TOR,sam cronin,M,Wake Forest University,Carolina Dynamo,1,0,John Carver,2856,2119,4975,3078.9282957732,1896.0717042268
2,2010,NYRB,tony tchani,Midfielder,University of Virginia,Hampton Roads Piranhas,0,1,Hans Backe,1946,1262,3208,3078.9282957732,129.0717042268
2,2011,POR,darlington nagbe,Forward,University of Akron,Cleveland Internationals,0,1,John Spencer,1712,2942,4654,3078.9282957732,1575.0717042268
2,2012,VAN,darren mattocks,Forward,University of Akron,None,0,1,Martin Rennie,1425,1007,2432,3078.9282957732,-646.9282957732
2,2013,CHV,carlos alvarez,Midfielder,Connecticut,None,0,0,Jose Luis Sanchez Sola,2297,1353,3650,3078.9282957732,571.0717042268
2,2014,DC,steve birnbaum,Defender,California,Orange County Blue Star,1,0,Ben Olsen,2106,1920,4026,3078.9282957732,947.0717042268
2,2015,NYC,khiry shelton,Forward,Oregon State,Lane United FC,0,0,Patrick Vieira,899,1228,2127,3078.9282957732,-951.9282957732
3,2007,SKC,michael harrington,D,North Carolina,None,0,0,Curt Onalfo,2927,3139,6066,2904.1219681769,3161.8780318231
3,2008,RSL,tony beltran,D,UCLA,Los Angeles Storm,0,1,Jason Kreis,1131,2248,3379,2904.1219681769,474.8780318231
3,2009,LA,omar gonzalez,D,University of Maryland,None,0,1,Bruce Arena,3230,3046,6276,2904.1219681769,3371.8780318231
3,2010,SJ,ike opara,Defender,Wake Forest University,Cary Clarets,0,1,Frank Yallop,1104,515,1619,2904.1219681769,-1285.1219681769
3,2011,DC,perry kitchen,Midfielder,University of Akron,Chicago Fire Premier,0,1,Ben Olsen,2883,2973,5856,2904.1219681769,2951.8780318231
3,2012,NE,kelyn rowe,Midfielder,UCLA,Washington Crossfire,0,1,Jay Heaps,2027,2722,4749,2904.1219681769,1844.8780318231
3,2013,TOR,kyle bekker,Midfielder,Boston College,None,1,0,Ryan Nelsen,375,1188,1563,2904.1219681769,-1341.1219681769
3,2014,VAN,christian dean,Defender,California,None,1,1,Carl Robinson,142,315,457,2904.1219681769,-2447.1219681769
3,2015,MTL,romario williams,Forward,UCF,Orlando City U-23,0,1,Frank Klopas,14,0,14,2904.1219681769,-2890.1219681769
4,2007,RSL,chris seitz,GK,Maryland,None,0,1,John Ellinger,326,0,326,2735.2277671921,-2409.2277671921
4,2008,LA,sean franklin,D,Cal State Northridge,San Fernando Valley Quakes,0,0,Ruud Gullit,2883,1360,4243,2735.2277671921,1507.7722328079
4,2009,TOR,o'brian white,F,University of Connecticut,None,0,0,John Carver,0,0,0,2735.2277671921,-2735.2277671921
4,2010,SKC,teal bunbury,Forward,University of Akron,Rochester Thunder,0,1,Peter Vermes,1742,1838,3580,2735.2277671921,844.7722328079
4,2011,CHV,zarek valentin,Defender,University of Akron,Reading United,0,1,Robin Fraser,2230,1230,3460,2735.2277671921,724.7722328079
4,2012,TOR,luis silva,Midfielder,UC Santa Barbara,Orange County Blue Star,0,0,Aron Winter,2202,2073,4275,2735.2277671921,1539.7722328079
4,2013,VAN,kekuta manneh,Forward,Austin Aztex,None,1,1,Martin Rennie,852,1293,2145,2735.2277671921,-590.2277671921
4,2014,NE,steve neumann,Forward,Georgetown,Reading United,1,0,Jay Heaps,638,176,814,2735.2277671921,-1921.2277671921
4,2015,SJ,fatai alashe,Midfielder,Michigan State,Portland Timbers U23s,0,0,Dominic Kinnear,2448,2451,4899,2735.2277671921,2163.7722328079
5,2007,NE,wells thompson,M,Wake Forest,None,1,0,Steve Nicol,1468,950,2418,2572.2564500739,-154.2564500739
5,2008,COL,ciaran obrien,M,UC Santa Barbara,Tacoma Tide,0,1,Fernando Clavijo,22,0,22,2572.2564500739,-2550.2564500739
5,2009,FCD,peri marosevic,F,University of Michigan,Chicago Fire Premier,0,1,Schellas Hyndman,56,0,56,2572.2564500739,-2516.2564500739
5,2010,FCD,zach loyd,Midfielder,University of North Carolina,Carolina Dynamo,1,0,Schellas Hyndman,2138,2557,4695,2572.2564500739,2122.7435499261
5,2011,PHI,zac macmath,Goalkeeper,University of Maryland,None,0,1,Piotr Nowak,726,3079,3805,2572.2564500739,1232.7435499261
5,2012,CHV,casey townsend,Forward,University of Maryland,None,0,0,Robin Fraser,974,348,1322,2572.2564500739,-1250.2564500739
5,2013,VAN,erik hurtado,Forward,Santa Clara,Portland Timbers U23s,1,0,Martin Rennie,549,1922,2471,2572.2564500739,-101.2564500739
5,2014,MTL,eric miller,Defender,Creighton,Portland Timbers U23s,1,1,Frank Klopas,1859,552,2411,2572.2564500739,-161.2564500739
5,2015,POR,nick besler,Midfielder,Notre Dame,None,1,0,Caleb Porter,0,0,0,2572.2564500739,-2572.2564500739
6,2007,COL,nico colaluca,M,Virginia,None,1,1,Fernando Clavijo,74,0,74,2415.2187740772,-2341.2187740772
6,2008,CLB,andy iro,D,UC Santa Barbara,None,0,0,Sigi Schmid,1304,762,2066,2415.2187740772,-349.2187740772
6,2009,DC,rodney wallace,D,University of Maryland,None,0,1,Tom Soehn,2738,1117,3855,2415.2187740772,1439.7812259228
6,2010,PHI,amobi okugo,Midfielder,UCLA,None,1,1,Piotr Nowak,528,860,1388,2415.2187740772,-1027.2187740772
6,2011,NE,a.j. soares,Defender,University of California,Orange County Blue Star,0,0,Steve Nicol,2642,2789,5431,2415.2187740772,3015.7812259228
6,2012,SJ,sam garza,Forward,UC Santa Barbara,None,0,1,Frank Yallop,130,116,246,2415.2187740772,-2169.2187740772
6,2013,COL,deshorn brown,Forward,UCF,Reading United,0,1,Oscar Pareja,2290,2311,4601,2415.2187740772,2185.7812259228
6,2014,FCD,tesho akindele,Forward,Colorado School of Mines,Real Colorado Foxes,1,0,Oscar Pareja,1856,1613,3469,2415.2187740772,1053.7812259228
6,2015,TOR,alex bono,Goalkeeper,Syracuse,Reading United,1,1,Greg Vanney,0,1447,1447,2415.2187740772,-968.2187740772
7,2007,CHV,john cunliffe,F,Fort Lewis College,None,0,0,Preki,597,470,1067,2264.1254964568,-1197.1254964568
7,2008,CHI,patrick nyarko,F,Virginia Tech,None,1,1,Denis Hamlett,192,2397,2589,2264.1254964568,324.8745035432
7,2009,DC,chris pontius,F,UC Santa Barbara,None,1,0,Tom Soehn,2554,1437,3991,2264.1254964568,1726.8745035432
7,2010,PHI,jack mcinerney,Forward,None,Cobb Soccer Club,1,1,Piotr Nowak,423,623,1046,2264.1254964568,-1218.1254964568
7,2011,HOU,kofi sarkodie,Defender,University of Akron,Michigan Bucks,0,1,Dominic Kinnear,630,743,1373,2264.1254964568,-891.1254964568
7,2012,DC,nick deleon,Midfielder,University of Louisville,Arizona Sahuaros,0,0,Ben Olsen,2298,2010,4308,2264.1254964568,2043.8745035432
7,2013,FCD,walker zimmerman,Defender,Furman,None,0,1,Schellas Hyndman,452,836,1288,2264.1254964568,-976.1254964568
7,2014,VAN,andre lewis,Midfielder,Portmore United,None,0,0,Carl Robinson,0,0,0,2264.1254964568,-2264.1254964568
7,2015,CHI,matt polster,Defender,SIU Edwardsville,Chicago Fire Premier,0,0,Frank Yallop,2543,2210,4753,2264.1254964568,2488.8745035432
8,2007,CHI,jerson monteiro,F,Alabama-Birmingham,None,0,0,Dave Sarachan,186,0,186,2118.9873744676,-1932.9873744676
8,2008,FCD,josh lambo,GK,Generation adidas,None,0,1,Steve Morrow,0,0,0,2118.9873744676,-2118.9873744676
8,2009,SKC,matt besler,D,University of Notre Dame,None,0,0,Curt Onalfo,2703,1228,3931,2118.9873744676,1812.0126255324
8,2010,CLB,dilly duka,Midfielder,Rutgers University,Newark Ironbound Express,1,1,Robert Warzycha,193,1454,1647,2118.9873744676,-471.9873744676
8,2011,VAN,michael nanchoff,Midfielder,University of Akron,Cleveland Internationals,1,1,Teitur Thordarson,155,180,335,2118.9873744676,-1783.9873744676
8,2012,POR,andrew jean-baptiste,Defender,University of Connecticut,None,0,1,John Spencer,0,0,0,2118.9873744676,-2118.9873744676
8,2013,MTL,blake smith,Midfielder,New Mexico,Austin Aztex,0,0,Marco Schallibaum,358,80,438,2118.9873744676,-1680.9873744676
8,2014,SEA,damion lowe,Defender,Hartford,Reading United,1,1,Sigi Schmid,0,0,0,2118.9873744676,-2118.9873744676
8,2015,HOU,zach steinberger,Midfielder,Butler,Michigan Bucks,0,0,Owen Coyle,41,0,41,2118.9873744676,-2077.9873744676
9,2007,FCD,anthony wallace,D,South Florida,None,0,1,Steve Morrow,83,313,396,1979.8721552415,-1583.8721552415
9,2008,TOR,julius james,D,Connecticut,None,1,0,Mo Johnston,1086,1467,2553,1979.8721552415,573.1278447585
9,2009,CHV,michael lahoud,M,Carolina Dynamo,None,0,0,Preki,1054,2035,3089,1979.8721552415,1109.1278447585
9,2010,NE,zack schilawski,Forward,Wake Forest University,Cary Clarets,0,0,Steve Nicol,1524,1279,2803,1979.8721552415,823.1278447585
9,2011,CHI,jalil anibaba,Defender,University of North Carolina,Carolina Dynamo,0,0,Carlos de los Cobos,2663,3058,5721,1979.8721552415,3741.1278447585
9,2012,CHI,austin berry,Defender,University of Louisville,Chicago Fire Premier,0,0,Frank Klopas,2687,3249,5936,1979.8721552415,3956.1278447585
9,2013,CLB,ryan finley,Forward,Notre Dame,Reading United,0,0,Robert Warzycha,494,497,991,1979.8721552415,-988.8721552415
9,2014,SJ,j.j. koval,Midfielder,Stanford,Ventura County Fusion,0,0,Mark Watson,1084,802,1886,1979.8721552415,-93.8721552415
9,2015,TOR,clement simonin,Defender,North Carolina State,Seattle Sounders FC U-23,0,0,Greg Vanney,80,0,80,1979.8721552415,-1899.8721552415
10,2007,TOR,andrew boyens,D,New Mexico,None,1,0,Mo Johnston,2206,1820,4026,1846.8130853053,2179.1869146947
10,2008,TOR,pat phelan,M,Wake Forest,None,1,0,Mo Johnston,564,1373,1937,1846.8130853053,90.1869146947
10,2009,NE,kevin alston,D,Indiana University,None,0,1,Steve Nicol,2827,2207,5034,1846.8130853053,3187.1869146947
10,2010,CHV,blair gavin,Midfielder,University of Akron,Bradenton Academics,0,1,Martin Vasquez,1654,1017,2671,1846.8130853053,824.1869146947
10,2011,SKC,c.j. sapong,Forward,James Madison University,Reading United,0,0,Peter Vermes,2260,2356,4616,1846.8130853053,2769.1869146947
10,2012,CLB,ethan finlay,Midfielder,Creighton University,Chicago Fire Premier,0,0,Robert Warzycha,486,467,953,1846.8130853053,-893.8130853053
10,2013,SEA,eriq zavaleta,Forward,Indiana,None,1,1,Sigi Schmid,52,1416,1468,1846.8130853053,-378.8130853053
10,2014,TOR,nick hagglund,Defender,Xavier,None,1,0,Ryan Nelsen,2237,844,3081,1846.8130853053,1234.1869146947
10,2015,SKC,connor hallisey,Midfielder,California,None,1,0,Peter Vermes,564,1141,1705,1846.8130853053,-141.8130853053
11,2007,DC,bryan arguez,D,Generation adidas,None,0,1,Tom Soehn,0,0,0,1719.7691710062,-1719.7691710062
11,2008,SKC,roger espinoza,M,Ohio State,None,0,1,Curt Onalfo,1413,767,2180,1719.7691710062,460.2308289938
11,2009,NYRB,jeremy hall,D,University of Maryland,None,1,1,Juan Carlos Osorio,2418,1081,3499,1719.7691710062,1779.2308289938
11,2010,SEA,david estrada,Forward,UCLA,Salinas Valley Samba,0,0,Sigi Schmid,106,120,226,1719.7691710062,-1493.7691710062
11,2011,HOU,will bruin,Forward,Indiana University,None,1,1,Dominic Kinnear,1754,2605,4359,1719.7691710062,2639.2308289938
11,2012,FCD,matt hedges,Defender,University of North Carolina-Chapel Hill,Reading United AC,0,0,Schellas Hyndman,2175,2987,5162,1719.7691710062,3442.2308289938
11,2013,COL,dillon powers,Midfielder,Notre Dame,Austin Aztex,1,0,Oscar Pareja,2608,2380,4988,1719.7691710062,3268.2308289938
11,2014,NE,patrick mullins,Forward,Maryland,New Orleans Jesters,1,0,Jay Heaps,1279,1107,2386,1719.7691710062,666.2308289938
11,2015,TOR,skylar thomas,Defender,Syracuse,Reading United,1,0,Greg Vanney,0,0,0,1719.7691710062,-1719.7691710062
12,2007,NE,amaechi igwe,D,Santa Clara,None,0,1,Steve Nicol,0,686,686,1598.6994186916,-912.6994186916
12,2008,CHI,dominic cervi,GK,Tulsa,None,0,0,Denis Hamlett,0,0,0,1598.6994186916,-1598.6994186916
12,2009,RSL,jean alexandre,M,Lynn University,Ventura County Fusion,0,0,Jason Kreis,119,597,716,1598.6994186916,-882.6994186916
12,2010,CLB,bright dike,Forward,University of Notre Dame,Indiana Invaders,0,0,Robert Warzycha,0,208,208,1598.6994186916,-1390.6994186916
12,2011,CLB,rich balchan,Defender,Indiana University,Chicago Fire Premier,0,0,Robert Warzycha,1699,0,1699,1598.6994186916,100.3005813084
12,2012,TOR,aaron maund,Defender,University of Notre Dame,Indiana Invaders,1,0,Aron Winter,1025,297,1322,1598.6994186916,-276.6994186916
12,2013,RSL,john stertzer,Midfielder,Maryland,None,0,0,Jason Kreis,42,302,344,1598.6994186916,-1254.6994186916
12,2014,COL,marlon hairston,Midfielder,Louisville,None,1,1,Pablo Mastroeni,1066,284,1350,1598.6994186916,-248.6994186916
12,2015,SKC,saad abdul-salaam,Defender,Akron,Portland Timbers U23s,0,0,Peter Vermes,1162,2533,3695,1598.6994186916,2096.3005813084
13,2007,HOU,john michael hayden,M,Indiana,None,0,0,Dominic Kinnear,0,0,0,1483.5628347089,-1483.5628347089
13,2008,NE,rob valentino,D,San Francisco,San Jose Frogs,0,1,Steve Nicol,0,0,0,1483.5628347089,-1483.5628347089
13,2009,TOR,stefan frei,GK,University of California,San Jose Frogs,1,1,John Carver,2774,3046,5820,1483.5628347089,4336.4371652912
13,2010,CHI,corben bone,Midfielder,Wake Forest University,Carolina Dynamo,0,1,Carlos de los Cobos,137,558,695,1483.5628347089,-788.5628347089
13,2011,NYRB,corey hertzog,Forward,Pennsylvania State University,Reading United,0,1,Hans Backe,45,0,45,1483.5628347089,-1438.5628347089
13,2012,PHI,chandler hoffman,Forward,UCLA,Orange County Blue Star,0,1,Piotr Nowak,231,0,231,1483.5628347089,-1252.5628347089
13,2013,HOU,jason johnson,Forward,VCU,None,1,1,Dominic Kinnear,477,220,697,1483.5628347089,-786.5628347089
13,2014,CHI,marco franco,Defender,UC Irvine,OC Blues Strikers FC,1,0,Frank Yallop,0,0,0,1483.5628347089,-1483.5628347089
13,2015,VAN,tim parker,Defender,St. John's,Long Island Roughriders,0,0,Carl Robinson,1340,2707,4047,1483.5628347089,2563.4371652912
14,2007,FCD,fuad ibrahim,F,Generation adidas,None,1,1,Steve Morrow,0,0,0,1374.3184254053,-1374.3184254053
14,2008,RSL,david horst,D,Old Dominion,Hampton Roads Piranhas,1,0,Jason Kreis,108,103,211,1374.3184254053,-1163.3184254053
14,2009,FCD,george john,M,University of Washington,None,1,0,Schellas Hyndman,1404,2584,3988,1374.3184254053,2613.6815745947
14,2010,NYRB,austin da luz,Midfielder,Wake Forest University,Austin Aztex U23,1,0,Hans Backe,0,1058,1058,1374.3184254053,-316.3184254053
14,2011,CHV,victor estupinan,Forward,LDU Quito,None,1,0,Robin Fraser,358,0,358,1374.3184254053,-1016.3184254053
14,2012,COL,tony cascio,Midfielder,University of Connecticut,None,0,0,Oscar Pareja,1776,632,2408,1374.3184254053,1033.6815745947
14,2013,SKC,mikey lopez,Midfielder,North Carolina,Orange County Blue Star,0,1,Peter Vermes,0,0,0,1374.3184254053,-1374.3184254053
14,2014,CLB,ben sweat,Defender,USF,Reading United,1,0,Gregg Berhalter,0,0,0,1374.3184254053,-1374.3184254053
14,2015,COL,axel sjoberg,Defender,Marquette,Thunder Bay Chill,1,0,Pablo Mastroeni,1332,2918,4250,1374.3184254053,2875.6815745947
15,2007,CLB,brad evans,M,UC Irvine,None,0,0,Sigi Schmid,130,2122,2252,1270.9251971284,981.0748028716
15,2008,SJ,shea salinas,M,Furman,Carolina Dynamo,0,0,Frank Yallop,657,1578,2235,1270.9251971284,964.0748028716
15,2009,NE,ryan maxwell,M,University of Tampa,Bradenton Academics,1,0,Steve Nicol,0,0,0,1270.9251971284,-1270.9251971284
15,2010,RSL,collen warner,Midfielder,University of Portland,Portland Timbers U23's,1,0,Jason Kreis,514,1201,1715,1270.9251971284,444.0748028716
15,2011,CLB,justin meram,Forward,University of Michigan,None,1,0,Robert Warzycha,568,1042,1610,1270.9251971284,339.0748028716
15,2012,SEA,andrew duran,Defender,Creighton University,Des Moines Menace,0,0,Sigi Schmid,0,0,0,1270.9251971284,-1270.9251971284
15,2013,SJ,tommy muller,Defender,Georgetown,None,0,0,Frank Yallop,0,0,0,1270.9251971284,-1270.9251971284
15,2014,PHI,pedro ribeiro,Midfielder,Coastal Carolina,Reading United,1,0,John Hackworth,381,786,1167,1270.9251971284,-103.9251971284
15,2015,FCD,otis earle,Defender,UC Riverside,FC Tucson,0,0,Oscar Pareja,0,0,0,1270.9251971284,-1270.9251971284
16,2007,LA,robbie findley,F,Oregon State,None,1,0,Frank Yallop,1635,1804,3439,1173.6969198875,2265.3030801125
16,2008,NYRB,eric brunner,D,Ohio State,Michigan Bucks,1,0,Juan Carlos Osorio,0,2504,2504,1173.6969198875,1330.3030801125
16,2009,SEA,evan brown,D,Wake Forest University,Cary RailHawks U23's,0,0,Sigi Schmid,0,0,0,1173.6969198875,-1173.6969198875
16,2010,LA,michael stephens,Midfielder,UCLA,Chicago Fire Premier,1,0,Bruce Arena,2277,1208,3485,1173.6969198875,2311.3030801125
16,2011,LA,paolo cardozo,Midfielder,Quilmes,None,0,0,Bruce Arena,890,710,1600,1173.6969198875,426.3030801125
16,2012,SKC,dominic dwyer,Forward,University of South Florida,None,0,1,Peter Vermes,7,736,743,1173.6969198875,-430.6969198875
16,2013,TOR,emery welshman,Forward,Oregon State,Portland Timbers U23s,1,0,Ryan Nelsen,8,0,8,1173.6969198875,-1165.6969198875
16,2014,HOU,a.j. cochran,Defender,Wisconsin,K-W United FC,0,1,Dominic Kinnear,1510,536,2046,1173.6969198875,872.3030801125
16,2015,SEA,cristian roldan,Midfielder,Washington,Washington Crossfire,1,1,Sigi Schmid,1183,2767,3950,1173.6969198875,2776.3030801125
17,2007,COL,greg dalby,M,Notre Dame,None,1,0,Fernando Clavijo,0,33,33,1082.8362189055,-1049.8362189055
17,2008,RSL,alex nimo,F,Generation adidas,None,0,1,Jason Kreis,0,0,0,1082.8362189055,-1082.8362189055
17,2009,SJ,brad ring,M,Indiana University,Chicago Fire Premier,0,0,Frank Yallop,0,525,525,1082.8362189055,-557.8362189055
17,2010,PHI,toni stahl,Midfielder,University of Connecticut,None,0,0,Piotr Nowak,49,0,49,1082.8362189055,-1033.8362189055
17,2011,FCD,bobby warshaw,Defender,Stanford University,None,0,0,Schellas Hyndman,522,319,841,1082.8362189055,-241.8362189055
17,2012,RSL,enzo martinez,Midfielder,University of North Carolina-Chapel Hill,None,0,1,Jason Kreis,0,0,0,1082.8362189055,-1082.8362189055
17,2013,DC,taylor kemp,Defender,Maryland,Real Colorado Foxes,0,0,Ben Olsen,563,1253,1816,1082.8362189055,733.1637810945
17,2014,POR,schillo tshuma,Forward,Maryland,None,0,1,Caleb Porter,0,0,0,1082.8362189055,-1082.8362189055
17,2015,DC,miguel aguilar,Forward,San Francisco,Portland Timbers U23s,0,0,Ben Olsen,598,116,714,1082.8362189055,-368.8362189055
18,2007,FCD,andrew daniels,D,Brown,None,1,0,Steve Morrow,0,0,0,998.135383349,-998.135383349
18,2008,NE,michael videira,M,Duke,Cary RailHawks U23's,1,0,Steve Nicol,0,580,580,998.135383349,-418.135383349
18,2009,NYRB,babajide ogunbiyi,D,Santa Clara University,None,1,0,Juan Carlos Osorio,0,0,0,998.135383349,-998.135383349
18,2010,NYRB,tim ream,Defender,Saint Louis University,Chicago Fire Premier,0,0,Hans Backe,3264,2653,5917,998.135383349,4918.864616651
18,2011,COL,eddie ababio,Defender,University of North Carolina,None,0,0,Gary Smith,0,0,0,998.135383349,-998.135383349
18,2012,HOU,colin rolfe,Forward,University of Louisville,None,0,0,Dominic Kinnear,0,0,0,998.135383349,-998.135383349
18,2013,MTL,fernando monge,Midfielder,UCLA,Seattle Sounders FC U-23,1,0,Marco Schallibaum,0,0,0,998.135383349,-998.135383349
18,2014,RSL,ryan neil,Defender,California,None,0,0,Jeff Cassar,0,0,0,998.135383349,-998.135383349
18,2015,NYRB,leo stolz,Midfielder,UCLA,None,0,0,Jesse Marsch,0,0,0,998.135383349,-998.135383349
19,2007,NYRB,dane richards,F,Clemson,None,0,0,Bruce Arena,2822,1877,4699,919.3867023853,3779.6132976148
19,2008,FCD,eric avila,M,UC Santa Barbara,Ventura County Fusion,1,1,Steve Morrow,614,401,1015,919.3867023853,95.6132976147
19,2009,LA,a.j. delagarza,D,University of Maryland,None,1,0,Bruce Arena,0,0,0,919.3867023853,-919.3867023853
19,2010,SJ,michael thomas,Midfielder,University of Notre Dame,Kansas City Brass,0,0,Frank Yallop,0,0,0,919.3867023853,-919.3867023853
19,2011,VAN,jeb brovsky,Midfielder,University of Notre Dame,None,0,0,Teitur Thordarson,1609,2451,4060,919.3867023853,3140.6132976148
19,2012,LA,tommy meyer,Defender,Indiana University,Chicago Fire Premier,0,0,Bruce Arena,696,526,1222,919.3867023853,302.6132976147
